"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"06.08.2020";644.676625433432;543.784716628222;745.568534238641;490.37576629814;798.977484568724
2;"07.08.2020";655.850626451337;547.010714341249;764.690538561425;489.394345212567;822.306907690106
3;"08.08.2020";665.93530882739;549.686006842072;782.184610812708;488.147343641361;843.723274013419
4;"09.08.2020";653.968976831776;530.75169436678;777.186259296773;465.524405113224;842.413548550328
5;"10.08.2020";633.803706633281;503.988753218966;763.618660047596;435.268867936658;832.338545329905
6;"11.08.2020";672.798291111366;536.70210927053;808.894472952202;464.657142512247;880.939439710485
7;"12.08.2020";666.995026334268;524.892089534877;809.09796313366;449.667338777801;884.322713890736
8;"13.08.2020";676.347101801972;528.475638897979;824.218564705965;450.197214879618;902.496988724325
9;"14.08.2020";687.521102819877;534.097849055408;840.944356584346;452.880484483522;922.161721156232
10;"15.08.2020";697.60578519593;538.822139894301;856.389430497559;454.767155450334;940.444414941526
11;"16.08.2020";685.639453200316;521.668042875129;849.610863525503;434.866821515352;936.412084885281
12;"17.08.2020";665.474183001822;496.471735783377;834.476630220266;407.007244368321;923.941121635322
13;"18.08.2020";704.468767479906;530.578406894496;878.359128065317;438.52641044236;970.411124517452
14;"19.08.2020";698.665502702808;520.018603418192;877.312401987425;425.44864747716;971.882357928457
15;"20.08.2020";708.017578170512;524.733030114484;891.30212622654;427.708051210621;988.327105130403
16;"21.08.2020";719.191579188417;531.383866756863;906.999291619971;431.964469268515;1006.41868910832
17;"22.08.2020";729.27626156447;537.049636109386;921.502887019554;435.291007368686;1023.26151576025
18;"23.08.2020";717.309929568857;520.76161028018;913.858248857533;416.71521501753;1017.90464412018
19;"24.08.2020";697.144659370362;496.365587012931;897.923731727792;390.07956636125;1004.20975237947
20;"25.08.2020";736.139243848446;531.214726080943;941.06376161595;422.734239186878;1049.54424851001
21;"26.08.2020";730.335979071349;521.346246606622;939.325711536075;410.713765044043;1049.95819309865
22;"27.08.2020";739.688054539052;526.706798942847;952.669310135257;413.961332670244;1065.41477640786
23;"28.08.2020";750.862055556957;533.962718176243;967.761392937671;419.143144694289;1082.58096641963
24;"29.08.2020";760.94673793301;540.196973048487;981.696502817534;423.339106370024;1098.554369496
25;"30.08.2020";748.980405937397;524.444386866184;973.516425008609;405.582198293243;1092.37861358155
26;"31.08.2020";728.815135738902;500.553841929824;957.076429547979;379.71961203269;1077.91065944511
27;"01.09.2020";767.809720216987;535.881192274466;999.738248159507;413.105645893173;1122.5137945408
28;"02.09.2020";762.006455439889;526.466022539732;997.546888340045;401.778449170707;1122.23446170907
29;"03.09.2020";771.358530907592;532.257279326093;1010.45978248909;405.684722410434;1137.03233940475
30;"04.09.2020";782.532531925497;539.92271793046;1025.14234592053;411.49284026536;1153.57222358563
