h;date;prediction
1;06.08.2020;644,18
2;07.08.2020;648,37
3;08.08.2020;652,55
4;09.08.2020;656,73
5;10.08.2020;660,92
6;11.08.2020;665,10
7;12.08.2020;669,28
8;13.08.2020;673,46
9;14.08.2020;677,65
10;15.08.2020;681,83
11;16.08.2020;686,01
12;17.08.2020;690,20
13;18.08.2020;694,38
14;19.08.2020;698,56
15;20.08.2020;702,75
16;21.08.2020;706,93
17;22.08.2020;711,11
18;23.08.2020;715,29
19;24.08.2020;719,48
20;25.08.2020;723,66
21;26.08.2020;727,84
22;27.08.2020;732,03
23;28.08.2020;736,21
24;29.08.2020;740,39
25;30.08.2020;744,58
26;31.08.2020;748,76
27;01.09.2020;752,94
28;02.09.2020;757,12
29;03.09.2020;761,31
30;04.09.2020;765,49
